	source	interaction	target
208	DLL4	1	NOTCH4
209	JAG1	0	NOTCH2
210	JAG2	0	NOTCH2
211	JAG2	0	NOTCH3
212	DLL3	1	NOTCH1
213	MAP2K7	1	MAPK10
214	MAP2K7	1	MAPK9
215	MAP2K6	1	MAPK12
216	MAP2K4	1	MAPK10
217	MAP2K6	1	MAPK14
218	MAP2K4	1	MAPK9
219	MAP2K3	1	MAPK11
220	JAK2	1	STAT5B
221	DLL4	1	NOTCH1
222	RPS6KA5	1	CREB1
223	AKT1	1	RPS6KB1
224	PAK1	1	RAF1
225	JAK3	1	STAT3
226	SMAD2	1	SMAD4
227	SMAD3	1	SMAD4
228	SMAD4	1	SMAD3
229	JAK2	1	STAT1
230	JAK2	1	STAT5A
231	KRAS	1	RAF1
232	KRAS	1	BRAF
233	HRAS	1	BRAF
234	MAPK3	1	MYC
235	PDGFA	1	PDGFRA
236	PDGFB	1	PDGFRA
237	NR0B1	0	NR5A1
238	JAK1	0	STAT6
239	JAK2	1	STAT6
240	DLL1	1	NOTCH2
241	MAPK14	0	CREB1
242	IL2RG	1	JAK1
243	IL2RG	1	JAK3
244	KRAS	1	MAP3K1
245	NRG2	1	ERBB4
246	MAPK14	1	RPS6KA4
247	PRKCA	0	RAF1
248	SOS1	1	HRAS
249	MAP2K3	1	MAPK13
250	MAP2K6	1	MAPK13
251	MAP2K3	1	MAPK12
252	SOS1	1	NRAS
253	DLL3	1	NOTCH2
254	SOS1	1	KRAS
255	JAK2	0	STAT4
256	SNW1	1	RBPJ
257	PDGFRA	1	PLCG1
258	PDGFRB	1	PLCG1
259	LCK	1	ZAP70
260	LCP2	1	PLCG1
261	THRB	1	RXRA
262	RXRA	1	THRB
263	THRA	1	RXRB
264	RXRB	1	THRA
265	THRA	1	RXRA
266	RXRA	1	THRA
267	THRB	1	RXRB
268	RXRB	1	THRB
269	THRA	1	RXRG
270	RXRG	1	THRA
271	THRB	1	RXRG
272	RXRG	1	THRB
273	SRC	1	PXN
274	PTK2B	1	SRC
275	JAK3	1	STAT2
276	JAK3	1	STAT5B
277	MAPK1	1	FOS
278	MAPK3	1	FOS
279	AKT3	0	BAD
280	AKT3	0	GSK3B
281	CD4	1	LCK
282	GNAI1	-1	ADCY5
283	GNAI1	-1	ADCY6
284	GNAI2	-1	ADCY5
285	GNAI2	-1	ADCY6
286	GNAI3	-1	ADCY5
287	GNAI3	-1	ADCY6
288	CCR5	1	GNAI1
289	CCR5	1	GNAI2
290	CCR5	1	GNAI3
291	CXCR4	1	GNAI1
292	CXCR4	1	GNAI2
293	CXCR4	1	GNAI3
294	ZAP70	1	LCP2
295	ZAP70	1	VAV1
296	ZAP70	1	LAT
297	LAT	1	PLCG1
298	CXCL12	1	ACKR3
299	CCL19	1	ACKR4
300	CCL21	1	ACKR4
301	CCL25	1	ACKR4
302	CCL13	1	CCR1
303	CCL8	1	CCR1
304	CCL14	1	CCR1
305	CCL15	1	CCR1
306	CCL23	1	CCR1
307	CCL3	1	CCR1
308	CCL5	1	CCR1
309	CCL7	1	CCR1
310	CCL27	1	CCR10
311	CCL28	1	CCR10
312	CCL13	1	CCR2
313	CCL2	1	CCR2
314	CCL7	1	CCR2
315	CCL8	1	CCR2
316	CCL11	1	CCR3
317	CCL13	1	CCR3
318	CCL15	1	CCR3
319	CCL2	1	CCR3
320	CCL24	1	CCR3
321	CCL26	1	CCR3
322	CCL28	1	CCR3
323	CCL5	1	CCR3
324	CCL7	1	CCR3
325	CCL17	1	CCR4
326	CCL22	1	CCR4
327	CCL3	1	CCR5
328	CCL20	1	CCR6
329	CCL19	1	CCR7
330	CCL21	1	CCR7
331	CCL1	1	CCR8
332	CCL25	1	CCR9
333	CRH	1	CRHR1
334	CRH	1	CRHR2
335	CXCL6	1	CXCR1
336	CXCL8	1	CXCR1
337	CXCL1	1	CXCR2
338	CXCL2	1	CXCR2
339	CXCL3	1	CXCR2
340	CXCL5	1	CXCR2
341	CXCL6	1	CXCR2
342	PPBP	1	CXCR2
343	CXCL8	1	CXCR2
344	CXCL12	1	CXCR4
345	CXCL13	1	CXCR5
346	CX3CL1	1	CX3CR1
347	EREG	1	EGFR
348	GHRH	1	GHRHR
349	GNRH2	1	GNRHR
350	GH2	1	GHR
351	TNFSF14	1	TNFRSF14
352	LTA	1	TNFRSF14
353	KISS1	1	KISS1R
354	TAC3	1	TACR3
355	PROK1	1	PROKR1
356	PROK2	1	PROKR1
357	PROK1	1	PROKR2
358	PROK2	1	PROKR2
359	TSHB	1	TSHR
360	LTA	1	TNFRSF1B
361	AVP	1	AVPR2
362	XCL1	1	XCR1
363	XCL2	1	XCR1
364	CALM3	1	CAMK2A
365	CALM1	1	CAMK2A
366	CALM2	1	CAMK2A
367	GRM1	1	GNAQ
368	GNAQ	1	PLCB1
369	ZAP70	1	VAV2
370	NRAS	1	RALGDS
371	MAPK14	1	RPS6KA5
372	MAPK1	1	ELK1
373	CALM3	1	CAMK4
374	CALM1	1	CAMK4
375	CAMK4	1	CALM1
376	CALM2	1	CAMK4
377	CALM3	1	PPP3R1
378	CALM1	1	PPP3R1
379	CALM2	1	PPP3R1
380	CAMK4	1	CREB1
381	NRAS	1	PIK3CA
382	DRD1	1	GNAS
383	CHRM1	1	GNAQ
384	PPP3R1	1	NFATC1
385	PAK1	1	LIMK1
386	YWHAH	0	BRAF
387	CAMK2A	0	CREB1
388	CAMK1	1	CREB1
389	ARRB1	1	SRC
390	GNAS	1	ADCY1
391	GNAS	1	ADCY5
392	GNAS	1	ADCY2
393	ADRB2	1	GNAS
394	GNA12	1	ARHGEF1
395	GNA13	1	ARHGEF1
396	NRAS	1	BRAF
397	GNAI3	-1	ADCY2
398	CBLB	-1	PIK3CA
399	GAB1	1	PIK3CA
400	SRC	0	CTTN
401	EIF2AK3	0	EIF2S1
