code	name	TF	ligand
Q13905	RAPGEF1	False	False
O43236	SEPTIN4	False	False
A0MZ66	SHTN1	False	False
Q96FS4	SIPA1	False	False
Q9H0E2	TOLLIP	False	False
P62328	TMSB4X	False	False
Q9UBV4	WNT16	False	False
P12956	XRCC6	False	False
Q8IZQ1	WDFY3	False	False
Q5D1E8	ZC3H12A	False	False
P37275	ZEB1	True	False
Q15796	SMAD2	False	False
Q8N5C8	TAB3	False	False
P36897	TGFBR1	False	False
Q15562	TEAD2	False	False
O75509	TNFRSF21	False	False
P28908	TNFRSF8	False	False
O14798	TNFRSF10C	False	False
Q06418	TYRO3	False	False
Q9H3M7	TXNIP	False	False
Q05086	UBE3A	False	False
P55089	UCN	False	True
Q92558	WASF1	False	False
P42226	STAT6	True	False
Q15208	STK38	False	False
P21579	SYT1	False	False
P02786	TFRC	False	False
O94826	TOMM70	False	False
P19438	TNFRSF1A	False	True
Q93038	TNFRSF25	False	False
Q969T4	UBE2E3	False	False
P67809	YBX1	False	False
Q9Y676	MRPS18B	False	False
P06702	S100A9	False	False
Q96BR1	SGK3	False	False
Q96FJ0	STAMBPL1	False	False
Q07352	ZFP36L1	False	False
P61077	UBE2D3	False	False
P22314	UBA1	False	False
P18206	VCL	False	False
Q93098	WNT8B	False	False
Q9H4A3	WNK1	False	False
Q13950	RUNX2	False	False
Q9Y6X0	SETBP1	False	False
Q9HAU4	SMURF2	False	False
P30872	SSTR1	False	False
P48023	FASLG	False	False
O60603	TLR2	False	False
Q8NFZ5	TNIP2	False	False
Q8WV44	TRIM41	False	False
P01374	LTA	False	True
Q9UMX0	UBQLN1	False	False
P46937	YAP1	False	False
O14512	SOCS7	False	False
Q96CG3	TIFA	False	False
Q13263	TRIM28	False	False
Q9Y2W1	THRAP3	False	False
P35625	TIMP3	False	True
Q12974	PTP4A2	False	False
Q13077	TRAF1	False	False
Q9UNA1	ARHGAP26	False	False
Q8IYJ3	SYTL1	False	False
Q15569	TESK1	False	False
P68363	TUBA1B	False	False
P24821	TNC	False	False
P00734	F2	False	True
O94972	TRIM37	False	False
P98170	XIAP	False	False
O96014	WNT11	False	False
P18433	PTPRA	False	False
Q8N3L3	TXLNB	False	False
Q14765	STAT4	True	False
Q12846	STX4	False	False
Q9H2K8	TAOK3	False	False
Q86XR7	TICAM2	False	False
P07437	TUBB	False	False
Q9NQB0	TCF7L2	True	False
Q9Y4K3	TRAF6	False	False
Q9ULW0	TPX2	False	False
P49755	TMED10	False	False
Q15819	UBE2V2	False	False
P09327	VIL1	False	False
Q58EX7	PLEKHG4	False	False
P10586	PTPRF	False	False
Q9H6Z4	RANBP3	False	False
O15211	RGL2	False	False
Q96EQ8	RNF125	False	False
O15304	SIVA1	False	False
O75886	STAM2	False	False
O95793	STAU1	False	False
Q9P0N9	TBC1D7	False	False
Q9UKW4	VAV3	False	False
Q9BXT4	TDRD1	False	False
O14746	TERT	False	False
Q8WWU5	TCP11	False	False
Q9UNG2	TNFSF18	False	False
O14836	TNFRSF13B	False	False
Q03405	PLAUR	False	False
Q00653	NFKB2	True	False
Q8WVJ2	NUDCD2	False	False
O00330	PDHX	False	False
P40426	PBX3	False	False
P17948	FLT1	False	False
Q8NEB9	PIK3C3	False	False
P08922	ROS1	False	False
P19474	TRIM21	False	False
Q8IWL2	SFTPA1	False	False
P68371	TUBB4B	False	False
P0CG48	UBC	False	False
P49459	UBE2A	False	False
Q92890	UFD1	False	False
P45880	VDAC2	False	False
P60510	PPP4C	False	False
P36873	PPP1CC	False	False
Q9H0H5	RACGAP1	False	False
O14544	SOCS6	False	False
Q13009	TIAM1	False	False
Q9UHF0	TAC3	False	False
O75962	TRIO	False	False
O00220	TNFRSF10A	False	False
Q15631	TSN	False	False
P42681	TXK	False	False
Q969E3	UCN3	False	True
P47901	AVPR1B	False	False
Q05996	ZP2	False	False
Q6ZNA4	RNF111	False	False
Q7Z6B7	SRGAP1	False	False
O75044	SRGAP2	False	False
Q07955	SRSF1	False	False
Q86WV6	STING1	False	False
Q5T5C0	STXBP5	False	False
Q71U36	TUBA1A	False	False
P30530	AXL	False	False
P49765	VEGFB	False	True
O43541	SMAD6	False	False
Q9Y275	TNFSF13B	False	True
Q53FD0	ZC2HC1C	False	False
P51398	DAP3	False	False
Q9Y265	RUVBL1	False	False
Q8TAQ2	SMARCC2	False	False
P61278	SST	False	True
P30626	SRI	False	False
Q14683	SMC1A	False	False
Q9C0K7	STRADB	False	False
A7MCY6	TBKBP1	False	False
P00750	PLAT	False	False
P07204	THBD	False	True
Q9HAV5	EDA2R	False	False
Q8IYT8	ULK2	False	False
P63027	VAMP2	False	False
P01282	VIP	False	True
Q9BRL6	SRSF8	False	False
Q92844	TANK	False	False
Q9NYJ8	TAB2	False	False
Q9UP52	TFR2	False	False
Q06643	LTB	False	False
Q9Y2W2	WBP11	False	False
Q16890	TPD52L1	False	False
O75888	TNFSF13	False	True
Q92835	INPP5D	False	False
Q07889	SOS1	False	False
P30874	SSTR2	False	False
Q01130	SRSF2	False	False
P11831	SRF	True	False
P62380	TBPL1	False	False
P43489	TNFRSF4	False	False
Q15654	TRIP6	False	False
Q9UBN6	TNFRSF10D	False	False
P29597	TYK2	False	False
O95405	ZFYVE9	False	False
P06239	LCK	False	False
P19256	CD58	False	False
Q12913	PTPRJ	False	False
Q15643	TRIP11	False	False
Q5T9L3	WLS	False	False
P13010	XRCC5	False	False
Q2M1Z3	ARHGAP31	False	False
Q6R327	RICTOR	False	False
Q15382	RHEB	False	False
O14559	ARHGAP33	False	False
Q96A56	TP53INP1	False	False
P15923	TCF3	True	False
P01033	TIMP1	False	True
Q93009	USP7	False	False
P37288	AVPR1A	False	False
O60763	USO1	False	False
P19320	VCAM1	False	False
Q8WV41	SNX33	False	False
P40763	STAT3	True	False
O00506	STK25	False	False
P10600	TGFB3	False	True
Q92956	TNFRSF14	False	False
Q07011	TNFRSF9	False	False
O43914	TYROBP	False	False
Q92995	USP13	False	False
P40337	VHL	False	False
Q9Y6M7	SLC4A7	False	False
Q01892	SPIB	False	False
O15524	SOCS1	False	False
P84103	SRSF3	False	False
O14530	TXNDC9	False	False
Q6GPH4	XAF1	False	False
O00744	WNT10B	False	False
O00308	WWP2	False	False
Q96MS0	ROBO3	False	False
P62753	RPS6	False	False
Q16181	SEPTIN7	False	False
O00141	SGK1	False	False
O43791	SPOP	False	False
O94813	SLIT2	False	False
P20226	TBP	False	False
Q8NFU7	TET1	False	False
Q9UKI8	TLK1	False	False
Q12888	TP53BP1	False	False
P36406	TRIM23	False	False
Q14258	TRIM25	False	False
O14788	TNFSF11	False	True
Q86UX7	FERMT3	False	False
Q9H4P4	RNF41	False	False
Q9Y2Z0	SUGT1	False	False
O75159	SOCS5	False	False
