	sig_id	A375	A549	HA1E	HCC515	HEKTE	HEPG2	HT29	JURKAT	MCF7	PC3	SHSY5Y	SW480	VCAP
60	KDA001_HT29_96H:TRCN0000005996:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
61	KDA001_HT29_96H:TRCN0000006037:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
62	KDA001_HT29_96H:TRCN0000008027:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
63	KDA001_HT29_96H:TRCN0000010341:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
64	KDA001_HT29_96H:TRCN0000039634:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
65	KDA001_HT29_96H:TRCN0000039961:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
66	KDA001_HT29_96H:TRCN0000040101:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
67	KDA001_MCF7_96H:TRCN0000001617:-666	0	0	0	0	0	0	0	0	1	0	0	0	0
68	KDA001_MCF7_96H:TRCN0000008027:-666	0	0	0	0	0	0	0	0	1	0	0	0	0
69	KDA002_A375_96H:E05	1	0	0	0	0	0	0	0	0	0	0	0	0
70	KDA002_A375_96H:J19	1	0	0	0	0	0	0	0	0	0	0	0	0
71	KDA002_A375_96H:L11	1	0	0	0	0	0	0	0	0	0	0	0	0
72	KDA002_A375_96H:M08	1	0	0	0	0	0	0	0	0	0	0	0	0
73	KDA002_A375_96H:N12	1	0	0	0	0	0	0	0	0	0	0	0	0
74	KDA002_A375_96H:TRCN0000003581:-666	1	0	0	0	0	0	0	0	0	0	0	0	0
75	KDA002_A375_96H:TRCN0000021847:-666	1	0	0	0	0	0	0	0	0	0	0	0	0
76	KDA002_A549_96H:TRCN0000002511:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
77	KDA002_A549_96H:TRCN0000007006:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
78	KDA002_A549_96H:TRCN0000020843:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
79	KDA002_A549_96H:TRCN0000021847:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
80	KDA002_A549_96H:TRCN0000040167:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
81	KDA002_A549_96H:TRCN0000047922:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
82	KDA002_A549_96H:TRCN0000061800:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
83	KDA002_A549_96H:TRCN0000083775:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
84	KDA002_HT29_96H:TRCN0000000583:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
85	KDA002_HT29_96H:TRCN0000002430:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
86	KDA002_HT29_96H:TRCN0000002509:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
87	KDA002_HT29_96H:TRCN0000003551:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
88	KDA002_HT29_96H:TRCN0000021847:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
89	KDA002_HT29_96H:TRCN0000039590:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
90	KDA002_HT29_96H:TRCN0000061801:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
91	KDA002_MCF7_144H:TRCN0000000583:-666	0	0	0	0	0	0	0	0	1	0	0	0	0
92	KDA002_MCF7_144H:TRCN0000061800:-666	0	0	0	0	0	0	0	0	1	0	0	0	0
93	KDA002_MCF7_96H:TRCN0000020843:-666	0	0	0	0	0	0	0	0	1	0	0	0	0
94	KDA002_PC3_144H:TRCN0000000585:-666	0	0	0	0	0	0	0	0	0	1	0	0	0
95	KDA002_PC3_144H:TRCN0000007006:-666	0	0	0	0	0	0	0	0	0	1	0	0	0
96	KDA002_PC3_96H:TRCN0000002429:-666	0	0	0	0	0	0	0	0	0	1	0	0	0
97	KDA002_PC3_96H:TRCN0000003552:-666	0	0	0	0	0	0	0	0	0	1	0	0	0
98	KDA002_VCAP_120H:TRCN0000002512:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
99	KDA002_VCAP_120H:TRCN0000004872:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
100	KDA002_VCAP_120H:TRCN0000019990:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
101	KDA002_VCAP_120H:TRCN0000021846:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
102	KDA002_VCAP_120H:TRCN0000061801:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
103	KDA003_A549_96H:TRCN0000003800:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
104	KDA003_A549_96H:TRCN0000007454:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
105	KDA003_A549_96H:TRCN0000009459:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
106	KDA003_A549_96H:TRCN0000037899:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
107	KDA003_A549_96H:TRCN0000039601:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
108	KDA003_A549_96H:TRCN0000064514:-666	0	1	0	0	0	0	0	0	0	0	0	0	0
109	KDA003_HA1E_96H:TRCN0000000244:-666	0	0	1	0	0	0	0	0	0	0	0	0	0
110	KDA003_HA1E_96H:TRCN0000003799:-666	0	0	1	0	0	0	0	0	0	0	0	0	0
111	KDA003_HA1E_96H:TRCN0000033458:-666	0	0	1	0	0	0	0	0	0	0	0	0	0
112	KDA003_HA1E_96H:TRCN0000064515:-666	0	0	1	0	0	0	0	0	0	0	0	0	0
113	KDA003_HEPG2_96H:TRCN0000010039:-666	0	0	0	0	0	1	0	0	0	0	0	0	0
114	KDA003_HEPG2_96H:TRCN0000056099:-666	0	0	0	0	0	1	0	0	0	0	0	0	0
115	KDA003_HT29_96H:E03	0	0	0	0	0	0	1	0	0	0	0	0	0
116	KDA003_HT29_96H:F23	0	0	0	0	0	0	1	0	0	0	0	0	0
117	KDA003_HT29_96H:G10	0	0	0	0	0	0	1	0	0	0	0	0	0
118	KDA003_HT29_96H:G14	0	0	0	0	0	0	1	0	0	0	0	0	0
119	KDA003_HT29_96H:J15	0	0	0	0	0	0	1	0	0	0	0	0	0
120	KDA003_HT29_96H:TRCN0000002329:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
121	KDA003_HT29_96H:TRCN0000003802:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
122	KDA003_HT29_96H:TRCN0000064517:-666	0	0	0	0	0	0	1	0	0	0	0	0	0
123	KDA003_MCF7_144H:TRCN0000001028:-666	0	0	0	0	0	0	0	0	1	0	0	0	0
124	KDA003_MCF7_144H:TRCN0000003122:-666	0	0	0	0	0	0	0	0	1	0	0	0	0
125	KDA003_MCF7_96H:TRCN0000000247:-666	0	0	0	0	0	0	0	0	1	0	0	0	0
126	KDA003_PC3_96H:TRCN0000000244:-666	0	0	0	0	0	0	0	0	0	1	0	0	0
127	KDA003_VCAP_120H:TRCN0000000244:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
128	KDA003_VCAP_120H:TRCN0000003802:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
129	KDA003_VCAP_120H:TRCN0000010279:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
130	KDA003_VCAP_120H:TRCN0000010424:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
131	KDA003_VCAP_120H:TRCN0000033457:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
132	KDA003_VCAP_120H:TRCN0000064514:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
