	source	interaction	target
3155	TRIM33	1	SMAD3
3156	TRIM33	1	SMAD2
3157	CTDSP1	1	SMAD1
3158	CTDSP2	1	SMAD1
3159	GLI3	1	MED12
3160	UCHL5	1	TGFBR1
3161	BCL9	1	CTNNB1
3162	CTDNEP1	1	BMPR1A
3163	IFNK	1	IFNAR1
3164	IFNL1	1	IL10RB
3165	IFNL2	1	IL10RB
3166	IFNL3	1	IL10RB
3167	IL10	1	IL10RB
3168	IFNK	1	IFNAR2
3169	IFNL1	1	IFNLR1
3170	IFNL2	1	IFNLR1
3171	IFNL3	1	IFNLR1
3172	IL19	1	IL20RB
3173	IL20	1	IL20RB
3174	IL24	1	IL20RB
3175	IL22RA2	1	IL22
3176	IL22	1	IL22RA2
3177	LEPR	1	TYK2
3178	MDM2	1	IGF1R
3179	RNF111	1	SMAD3
3180	RNF111	1	SMAD2
3181	SMAD7	1	TAB2
3182	MAPK14	1	STAT4
3183	MAPK14	1	STAT3
3184	STAT3	1	MAPK8
3185	MAPK8	1	STAT3
3186	MAPK14	1	STAT1
3187	STK11	1	MARK2
3188	TGFBR1	1	SHC1
3189	GSK3B	1	SMAD1
3190	MDK	1	NOTCH2
3191	HHAT	1	SHH
3192	CNTN1	1	NOTCH1
3193	CCN3	1	NOTCH1
3194	MFAP2	1	NOTCH1
3195	NOTCH4	1	RBPJ
3196	NOTCH1	1	SMAD1
3197	CDK8	1	NOTCH1
3198	SNW1	1	RBPJ
3199	SNW1	-1	NCOR2
3200	NCOR2	1	SNW1
3201	NOTCH1	1	SNW1
3202	SNW1	1	NOTCH1
3203	RBPJ	1	CIR1
3204	CIR1	-1	RBPJ
3205	CTF1	1	LIFR
3206	IL31RA	1	JAK1
3207	CISH	1	LEPR
3208	SOCS2	1	LEPR
3209	SOCS3	1	LEPR
3210	LEPR	-1	SOCS3
3211	SOCS3	1	IL12RB1
3212	PTPN11	1	STAT5A
3213	STAT3	1	PTPN11
3214	PTPN11	1	STAT3
3215	PTPRT	1	STAT3
3216	EP300	1	SMAD7
3217	EP300	1	SMAD4
3218	SMAD4	1	EP300
3219	TGFBR1	1	TRAF6
3220	ITGB8	1	TGFB1
3221	ITGB6	1	TGFB1
3222	MAPK11	1	SMAD2
3223	RANBP3	1	SMAD2
3224	RANBP3	1	SMAD3
3225	ERBIN	1	SMAD2
3226	ERBIN	1	SMAD3
3227	SMAD6	1	HOXC8
3228	SMAD7	1	STRAP
3229	SMAD6	1	PELI1
3230	YAP1	1	SMAD7
3231	TGFBR1	-1	FKBP1A
3232	FKBP1A	1	TGFBR1
3233	TGFBR1	1	PARD6A
3234	PARD6A	1	SMURF1
3235	DHH	1	PTCH1
3236	CSNK1A1L	1	LRP6
3237	GRK6	1	LRP6
3238	CSNK1A1	1	LRP6
3239	CSNK1D	1	LRP6
3240	CSNK1E	1	LRP6
3241	DVL1	1	CTNNB1
3242	DVL1	1	JUN
3243	DVL1	1	DAAM1
3244	INVS	1	DVL1
3245	LRRFIP2	1	DVL3
3246	DVL2	1	LRRK2
3247	LRRK2	1	DVL3
3248	DVL3	1	LRRK2
3249	SMAD1	1	DVL1
