	sig_id	HT29	MCF7	SW480	A549	HA1E	HEKTE	PC3	SHSY5Y	HEPG2	JURKAT	A375	HCC515	VCAP
59	KDA001_A549_96H:TRCN0000006042:-666	0	0	0	1	0	0	0	0	0	0	0	0	0
60	KDA001_A549_96H:TRCN0000013575:-666	0	0	0	1	0	0	0	0	0	0	0	0	0
61	KDA001_A549_96H:TRCN0000039635:-666	0	0	0	1	0	0	0	0	0	0	0	0	0
62	KDA001_A549_96H:TRCN0000039901:-666	0	0	0	1	0	0	0	0	0	0	0	0	0
63	KDA001_A549_96H:TRCN0000039961:-666	0	0	0	1	0	0	0	0	0	0	0	0	0
64	KDA001_A549_96H:TRCN0000040081:-666	0	0	0	1	0	0	0	0	0	0	0	0	0
65	KDA001_A549_96H:TRCN0000061753:-666	0	0	0	1	0	0	0	0	0	0	0	0	0
66	KDA001_HA1E_96H:TRCN0000000656:-666	0	0	0	0	1	0	0	0	0	0	0	0	0
67	KDA001_HA1E_96H:TRCN0000000779:-666	0	0	0	0	1	0	0	0	0	0	0	0	0
68	KDA001_HA1E_96H:TRCN0000001620:-666	0	0	0	0	1	0	0	0	0	0	0	0	0
69	KDA001_HA1E_96H:TRCN0000003755:-666	0	0	0	0	1	0	0	0	0	0	0	0	0
70	KDA001_HA1E_96H:TRCN0000005986:-666	0	0	0	0	1	0	0	0	0	0	0	0	0
71	KDA001_HA1E_96H:TRCN0000005996:-666	0	0	0	0	1	0	0	0	0	0	0	0	0
72	KDA001_HA1E_96H:TRCN0000006044:-666	0	0	0	0	1	0	0	0	0	0	0	0	0
73	KDA001_HA1E_96H:TRCN0000013567:-666	0	0	0	0	1	0	0	0	0	0	0	0	0
74	KDA001_HA1E_96H:TRCN0000013575:-666	0	0	0	0	1	0	0	0	0	0	0	0	0
75	KDA001_HA1E_96H:TRCN0000019384:-666	0	0	0	0	1	0	0	0	0	0	0	0	0
76	KDA001_HA1E_96H:TRCN0000039633:-666	0	0	0	0	1	0	0	0	0	0	0	0	0
77	KDA001_HA1E_96H:TRCN0000039942:-666	0	0	0	0	1	0	0	0	0	0	0	0	0
78	KDA001_HA1E_96H:TRCN0000040038:-666	0	0	0	0	1	0	0	0	0	0	0	0	0
79	KDA001_HA1E_96H:TRCN0000040081:-666	0	0	0	0	1	0	0	0	0	0	0	0	0
80	KDA001_HA1E_96H:TRCN0000040212:-666	0	0	0	0	1	0	0	0	0	0	0	0	0
81	KDA001_HT29_96H:TRCN0000004823:-666	1	0	0	0	0	0	0	0	0	0	0	0	0
82	KDA001_HT29_96H:TRCN0000006044:-666	1	0	0	0	0	0	0	0	0	0	0	0	0
83	KDA001_HT29_96H:TRCN0000010341:-666	1	0	0	0	0	0	0	0	0	0	0	0	0
84	KDA001_HT29_96H:TRCN0000037816:-666	1	0	0	0	0	0	0	0	0	0	0	0	0
