	source	interaction	target
206	DDB2	1	E2F1
207	ATM	1	MDM2
208	SGK1	1	FOXO3
209	AKT1	1	FOXO1
210	PLK3	1	TP53
211	GSK3B	1	CCND1
212	GSK3B	1	MYC
213	IKBKB	-1	IKBKG
214	IKBKG	1	IKBKB
215	CHEK1	1	CDC25A
216	CASP6	1	CASP8
217	CASP8	1	CASP6
218	CDK1	1	CSNK2B
219	DYRK2	1	TP53
220	MAVS	1	TBK1
221	KDM3B	-1	H3C8
222	KDM4C	-1	H3C8
223	KDM4B	-1	H3C8
224	TNFRSF10A	1	FADD
225	BAK1	1	AIFM1
226	ABL1	1	WASL
227	APIP	-1	APAF1
228	ABL1	1	YTHDC1
229	CASP1	1	IL1B
230	CASP1	1	IL18
231	ABL1	1	WRN
232	PIK3R4	1	PIK3C3
233	BID	1	BAK1
234	BID	1	BAX
235	XIAP	-1	DIABLO
236	DIABLO	1	XIAP
237	CDK1	1	WEE1
238	WEE1	-1	CDK1
239	KMT5B	1	H4-16
240	MAPKAPK2	1	HSPB1
241	MAP2K2	1	MAPK3
242	MAPK8	1	BMF
243	MAPK8	1	IRS1
244	MAPK8	1	MAPK8IP1
245	MAPK8IP1	1	MAPK8
246	MAPK1	1	MAP2K1
247	MAP2K1	1	MAPK1
248	AKT1	-1	TBC1D4
249	PPM1D	-1	ATM
250	CXCL9	1	CXCR3
251	CCL5	1	CCR5
252	CCL8	1	CCR5
253	CCL4	1	CCR5
254	IL6	1	IL6ST
255	SETDB2	1	H3C8
256	PPM1D	1	CHEK2
257	DOT1L	1	H3C8
258	DIABLO	1	BIRC2
259	ATG16L1	1	CLTC
260	DIABLO	1	BIRC3
261	BIRC5	-1	DIABLO
262	DIABLO	-1	BIRC5
263	FADD	1	RIPK1
264	HTRA2	-1	XIAP
265	ATG4B	1	GABARAP
266	CASP3	-1	IKBKB
267	ATG4B	1	GABARAPL2
268	ATM	1	IKBKG
269	ATM	1	H2AX
270	H2AX	1	MDC1
271	BIRC5	-1	CASP9
272	CASP3	1	GORASP1
273	EGFR	1	GRB2
274	GRB2	1	EGFR
275	CASP3	1	ROCK1
276	TRAF6	1	TAB2
277	TAB1	1	MAP3K7
278	BIRC3	-1	CASP9
279	BIRC6	-1	CASP3
280	TAB2	1	MAP3K7
281	MAP3K5	1	DAXX
282	DAXX	1	MAP3K5
283	DAXX	-1	FAS
284	SQSTM1	1	WDFY3
285	BCL2L2	-1	BAK1
286	CASP7	-1	PARP1
287	CASP3	1	DFFA
288	EGF	1	EGFR
289	BCL2L2	-1	BAX
290	TRAF2	1	MAP3K5
291	RPS6KA1	-1	TSC2
292	MAPK3	-1	TSC2
293	IL1A	1	IL1R1
294	AMBRA1	1	BECN1
295	RAB33B	1	ATG16L1
296	BAK1	1	HTRA2
297	CASP6	1	LMNA
298	BAD	-1	BCL2L2
299	BBC3	-1	BCL2L2
300	BCL2L11	-1	BCL2L2
301	BCL2L11	-1	BCL2
302	BID	-1	BCL2L1
303	BCL2L11	-1	BCL2L1
304	BCL2	-1	BAK1
305	BCL2L11	1	BAK1
306	BCL2L1	-1	BAK1
307	TRAF2	1	RIPK1
308	TRADD	1	RIPK1
309	CDK1	-1	PIK3C3
310	CDK5	-1	PIK3C3
311	DYNLL1	-1	AMBRA1
312	ULK1	1	AMBRA1
313	MAPK1	1	RPTOR
314	PLK1	1	FBXO5
315	EGLN1	1	HIF1A
316	EGLN3	1	HIF1A
317	EGLN2	1	HIF1A
318	PALB2	1	BRCA1
319	CREBBP	1	MYB
320	DKK1	1	LRP6
321	WNT5A	1	FZD5
322	FRAT1	1	GSK3B
323	FRAT2	-1	GSK3B
324	CSNK2A1	1	CTNNB1
325	MTNR1A	1	GNAI3
326	CDK11B	-1	EIF3F
327	PPM1D	-1	H2AX
328	RB1	-1	E2F1
329	DDX5	1	TP53
330	DDX5	1	HDAC1
331	IKBKE	1	NFKBIA
332	JAK1	1	STAT3
333	KDM5D	1	H3C8
334	KDM5B	1	H3C8
335	KDM5C	1	H3C8
336	KDM5A	1	H3C8
337	PLK1	-1	PKMYT1
338	CHUK	1	NFKB2
339	TNFSF14	1	LTBR
340	CD40LG	1	CD40
341	LTA	1	TNFRSF1A
342	LTB	1	LTBR
343	BCL3	1	NFKB2
344	BCL3	1	NFKB1
345	CDK2	1	FOXO1
346	EP300	1	TP53
347	NRG1	1	ERBB2
348	CD40	1	TRAF2
349	AKT1	1	FOXO3
350	AKT1	1	FOXO4
351	SIRT1	1	FOXO1
352	AKT1	1	EP300
353	CHUK	1	CREBBP
354	PIK3C3	1	BECN1
355	APC2	1	CTNNB1
356	TRAF2	1	MAP3K7
357	DFFA	-1	DFFB
358	RCOR1	1	KDM1A
359	GSK3B	-1	CTNNB1
360	MAPK3	-1	BCL2L11
361	MAPK1	-1	BCL2L11
362	CASP8	1	CASP7
363	CASP8	1	BID
364	NGF	1	NTRK1
365	CASP9	1	CASP7
366	MAPK3	1	CEBPB
367	MAPK1	1	CEBPB
368	BNIP3	-1	RHEB
369	CSNK1A1	1	CREB1
370	BCL2L1	1	BAD
371	BAD	1	BCL2L1
372	ATM	1	NABP2
373	FADD	1	CASP10
374	CASP3	1	CASP6
375	SIRT1	1	FOXO3
376	ATM	1	FBXO31
377	BAD	1	BCL2
378	BCL2	-1	BAX
379	BAX	-1	BCL2
380	BCL2L1	-1	BAX
381	IL4R	1	JAK1
382	RPS6KA4	1	FOS
383	IL4	1	IL4R
384	NEK11	-1	CDC25A
385	IL3RA	1	JAK2
386	PDPK1	1	PRKCA
387	PIAS4	1	STAT1
388	STAT6	1	GATA3
389	MAPK3	1	RPS6KA5
390	IKBKB	1	NFKB1
391	MAP3K8	1	MAP2K1
392	MAP3K8	1	MAP2K2
393	KMT5C	1	H4-16
394	SGK1	1	FOXO1
395	CDK1	1	KAT5
396	EIF2AK2	1	EIF2S1
397	DDX58	1	MAVS
398	TBK1	1	IRF3
399	EIF2AK1	1	EIF2S1
400	MAPK8	1	JUN
401	HSPA5	-1	EIF2AK3
402	MAP2K6	1	MAPK11
403	HSPA5	-1	ERN1
404	HSPA5	-1	ATF6
405	GHR	1	JAK2
406	PRLR	1	JAK2
407	JAK2	1	LEPR
408	LEPR	1	JAK2
409	IL5RA	1	JAK2
410	CRTC2	1	CREB1
411	CREBBP	1	CREB1
412	PRKN	-1	GPR37
413	CSNK1E	1	DVL1
414	CSNK1D	1	PER2
415	AKT1	-1	ZFP36L1
416	KAT5	1	H4-16
417	RPS6KA4	1	CREB1
418	KDM6A	1	H3C8
419	KDM6B	1	H3C8
420	KDM1A	1	H3C8
421	MEN1	1	KMT2A
422	SETD1B	1	H3C8
423	GZMA	-1	SET
424	SIRT1	-1	RELA
425	SET	-1	NME1
426	TGFA	1	EGFR
427	EGFR	1	SRC
428	SRC	1	EGFR
429	ATM	1	AVEN
430	AVEN	1	ATM
431	MAPK11	1	ATF2
432	PPM1D	1	MDM2
433	RPS6KB1	-1	MTOR
