	sig_id	A375	A549	HA1E	HCC515	HEKTE	HEPG2	HT29	JURKAT	MCF7	PC3	SHSY5Y	SW480	VCAP
60	ERGK002_VCAP_120H:TRCN0000009980:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
61	ERGK004_VCAP_120H:TRCN0000010174:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
62	ERGK004_VCAP_120H:TRCN0000010610:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
63	ERGK004_VCAP_120H:TRCN0000194685:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
64	ERGK004_VCAP_120H:TRCN0000195263:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
65	ERGK004_VCAP_120H:TRCN0000195414:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
66	ERGK004_VCAP_120H:TRCN0000197010:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
67	ERGK004_VCAP_120H:TRCN0000199101:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
68	ERGK005_VCAP_120H:TRCN0000001371:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
69	ERGK005_VCAP_120H:TRCN0000006159:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
70	ERGK005_VCAP_120H:TRCN0000196290:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
71	ERGK005_VCAP_120H:TRCN0000199099:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
72	ERGK006_VCAP_120H:CMAP-ERGK001:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
73	ERGK007_VCAP_120H:TRCN0000002189:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
74	ERGK007_VCAP_120H:TRCN0000003140:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
75	ERGK007_VCAP_120H:TRCN0000195521:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
76	ERGK007_VCAP_120H:TRCN0000196404:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
77	ERGK008_VCAP_120H:TRCN0000001736:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
78	ERGK008_VCAP_120H:TRCN0000002142:-666	0	0	0	0	0	0	0	0	0	0	0	0	1
