
TAK001_HEKTE_96H:TRCN0000298904:-666	
DER001_A375_96H:TRCN0000194984:-666	
TAK002_HEKTE_96H:TRCN0000121068:-666	
EKW001_SHSY5Y_120H:TRCN0000035757:2	
EKW001_SHSY5Y_120H:TRCN0000233375:2	
T1D.KD001_JURKAT_120H:TRCN0000053792:-666	
TAK001_A375_96H:TRCN0000040042:-666	
TAK002_HEKTE_96H:TRCN0000017854:-666	
DER001_A549_96H:TRCN0000072421:-666	
DER001_VCAP_96H:TRCN0000121209:-666	
TAK001_A375_96H:TRCN0000295873:-666	
EKW001_PC3_120H:TRCN0000365253:2	
T1D.KD001_JURKAT_120H:TRCN0000044647:-666	
TAK003_A375_96H:TRCN0000350341:-666	
TAK001_HEKTE_96H:TRCN0000330127:-666	
TAK002_HEKTE_96H:TRCN0000021208:-666	
DER001_A549_96H:TRCN0000197159:-666	
EKW001_PC3_120H:TRCN0000196328:2	
TAK002_HEKTE_96H:TRCN0000003097:-666	
TAK001_HEKTE_96H:TRCN0000274161:-666	
TAK001_HEKTE_96H:TRCN0000039601:-666	
TAK002_HEKTE_96H:TRCN0000245159:-666	
EKW001_SHSY5Y_120H:TRCN0000342335:2	
TAK003_HEKTE_96H:TRCN0000421839:-666	
DER001_PC3_96H:B22	
TAK001_HEKTE_96H:TRCN0000003756:-666	
TAK002_HEKTE_96H:TRCN0000073720:-666	
T1D.KD001_JURKAT_120H:TRCN0000242754:-666	
TAK001_HEKTE_96H:TRCN0000150028:-666	
T1D.KD001_JURKAT_120H:TRCN0000035050:-666	
EKW001_PC3_120H:TRCN0000295915:2	
TAK002_PC3_96H:TRCN0000005071:-666	
TAK001_HEKTE_96H:TRCN0000000943:-666	
T1D.KD001_JURKAT_120H:TRCN0000257137:-666	
TAK001_HEKTE_96H:TRCN0000350275:-666	
T1D.KD001_JURKAT_120H:TRCN0000116132:-666	
TAK001_HEKTE_96H:TRCN0000226467:-666	
TAK002_HEKTE_96H:TRCN0000430096:-666	
T1D.KD001_JURKAT_120H:TRCN0000163485:-666	
DER001_A375_96H:TRCN0000121321:-666	
EKW001_SHSY5Y_120H:TRCN0000002832:2	
TAK002_PC3_96H:TRCN0000056484:-666	
TAK002_HEKTE_96H:TRCN0000332953:-666	
EKW001_PC3_120H:TRCN0000055524:2	
T1D.KD001_JURKAT_120H:TRCN0000015216:-666	
TAK003_PC3_96H:TRCN0000003522:-666	
TAK001_A375_96H:TRCN0000013573:-666	
TAK001_HEKTE_96H:TRCN0000006044:-666	
TAK001_HEKTE_96H:TRCN0000063843:-666	
TAK002_PC3_96H:TRCN0000199993:-666	
TAK003_HEKTE_96H:TRCN0000003519:-666	
TAK001_A375_96H:TRCN0000033500:-666	
TAK002_A375_96H:TRCN0000275321:-666	
TAK002_PC3_96H:TRCN0000428550:-666	
DER001_VCAP_96H:TRCN0000280031:-666	
TAK002_A375_96H:TRCN0000055983:-666	
TAK001_A375_96H:TRCN0000082658:-666	
TAK002_A375_96H:TRCN0000240948:-666	
TAK001_HEKTE_96H:TRCN0000003360:-666	
EKW001_PC3_120H:TRCN0000061801:2	
TAK003_A375_96H:TRCN0000003827:-666	
TAK003_PC3_96H:TRCN0000003827:-666	
EKW001_SHSY5Y_120H:TRCN0000295914:2	
TAK002_PC3_96H:TRCN0000332953:-666	
TAK001_A375_96H:TRCN0000010425:-666	
TAK002_A375_96H:TRCN0000235663:-666	
T1D.KD001_JURKAT_120H:TRCN0000242630:-666	
TAK001_A375_96H:TRCN0000019804:-666	
TAK001_HEKTE_96H:TRCN0000008027:-666	
TAK003_A375_96H:TRCN0000273371:-666	
T1D.KD001_JURKAT_120H:TRCN0000381306:-666	
TAK001_HEKTE_96H:TRCN0000234679:-666	
TAK002_PC3_96H:TRCN0000355861:-666	
TAK002_HEKTE_96H:TRCN0000073718:-666	
TAK001_HEKTE_96H:TRCN0000062420:-666	
TAK002_HEKTE_96H:TRCN0000004814:-666	
TAK002_HEKTE_96H:TRCN0000003101:-666	
